Review,Score
"Great Sunday afternoon flick for all the family. Is it going to change your life? No but my husband and I enjoyed it, fun fresh concept with a few laughs, heart and a climatic ending! ",3.5
"Awesome.
Great movie, great actors, great story, great visual effects. 
I don’t understand this poor score at all. 
Critics are just totally dumb. And when you read their reviews, you realise that yah, they’re totally dumb.",5
"A throw back to real movies, emotions, and journeying into the unknown. 90s references were awesome and the friendship between characters was reminiscent of classic movies we grew up with. In a world where electronics are already a problematic escape, this movie also has cultural and societal commentary that we need to look at and begin talking about before we find ourselves lost in this state. Excellent story! ",5
peopper sollid movie.,3.5
"Una película más de Netflix o lo que se puede esperar de ellos. Lenta, aburrida por muchos momentos decepcionante por parte de los directores. Chris Pratt interpretando a Chris Pratt y Millie Bobby sin chiste. Lo único atractivo de esta película son los robots estilo animatronicos de “five night at freddy“, el cast que decepciona y él lo nombres detrás de esta película. Un idea buena pero mal ejecutada. ",2
I'm not sure why the critics disliked this movie so much. I found it to be an interesting and enjoyable sci-fi film with a great cast and excellent special FX. The concept about AI and robots/machines is interesting and well handled. The 2 lead actors are likeable and acts really well. An overall solid film.,3.5
This movie is absolutly the best one i ever seen. This film got me emotional when Michelle unplug the machiean that is connected to the brother. This film deserves more than 15%. P.S WHY!?,5
"A little cheesy derivitive and I'm not entirely convinced it was worth the price tag but, it is still a very entertaining watch and not at ALL deserving of the critics hate. ",4
Absolutely loved it 🥰 ,5
"Movie had a generic feel to it, may have been the CGI but the cohesiveness of the plot was below subpar.",1.5
Great movie. Great actors and so funny. Whole family enjoyed it. ,5
"This had glimmers of what the creative premise could've been in its first act, but the moment that a robot started singing The Clash's cover of I Fought The Law while Chris Pratt nods along with his stupid haircut, I knew this was the generic Netflix movie crap I was fearing it would be.",2
"I enjoyed it a lot. It is an easy to understand movie, It touches the topic of how technology is being used today. While the movie has a sci fi.half funny half serious, human-robot drama going on, in one moment during the movie we think about about a word that we can work while resting and have an opinion about it. Very well done.",4.5
Chris Pratt is amazing as always!,5
"The Electric State:heard a lot about it-the cast,the issues and even the costs which didn't bother me 1 iota..A lot of downers expressing  a bland cast which I found ratthering charming and cast nicely for the movie.$320 +million to make a movie isn't  chump change but considering the movie has a good cast great special effects and a heart warming story-to many people want dread and glamorized doom,this is more them just a story about the woes of an alter-universe-it is about survival.I would rather kick back and get lost in a movie with an attempt at heart then watch a movie that crams every piece of storyline down your throat.Kudos as this one is a keeper when other films fail.",3.5
"This movie gets a lot a hate but was what I expected which was a casual movie with some action, comedy and a plot line that follows the general Hollywood formula. If you don't expect this to be the best movie of the year you should enjoy it. ",4
"Whoever called this movie 'a piece of junk' should be declared 'mentally unsound'. A lot of movies in history were declared flop or slow starters, but went on to become cult classics in their own genre. This is going to be one of them.",5
I 100% don’t agree with the critics. Was it gone With the Wind? No. Was it an entertaining ride? Absolutely. I would love for them to make a sequel.,5
"Not many movies can evoke an emotional response. This is genuinely a great movie. I can imagine reading the book first would greatly affect your opinion in the sense that I’m not sure anyone can name a single movie that has lived up to expectations based on a book. That being said put the book out of your mind completely if you have read it. Drop all expectations and just trust the process. While small things can be criticized, keep an open mind. This movie is not just another apocalyptic tech takes over story. While the entirety of the story is greatly exaggerated, it is a great analogy of the world we live in today. Consumed by what we think has saved us. Instead of listening we react. Take the time to really reflect on the message and feel what the characters feel. Though I doubt anyone will read this or it’ll change anything. It’s definitely still a good watch. ",5
This is an awesome looking film which is quite thin in substance. This film does improve as it goes on and my daughter loved it. ,3
"Inegavelmente lindo e impressionante, visualmente é muito lindo, chamativo, e com muita criatividade. Principalmente em efeitos, que são pra mim o verdadeiro ponto alto do filme.

Mas, já não podemos dizer muitas coisas sobre ROTEIRO e DIREÇÃO dos Irmãos Russos, que para mim, fizeram mais uma obra extremamente esquecível.. e que poderia ter sido MUITO mais. Pois promissor com certeza é.

Personagens beem fracos e desinteressantes, trilha sonora sem originalidade, apenas básico do básico. Efeitos sonoros são um grande acerto pelo menos.
E o elenco, é muito chamativo de fato.. pena que alguns deles são um desperdício gigante. E também alguns são personagens que já encarnaram antes no passado.

No geral, bem fraco e esquecível. Mais um filme dos irmãos Russos que poderia ter sido muito melhor. 

""É ruim?"" - Com certeza NÃO.
 ""É bom?"" -  Para mim, SIM.
""Eu gostei?"" -  SIM, gostei bastante.

""Vale a pena?""

Na minha opinião, vale sim a pena. Maass é bem esquecível.
Apesar de eu ter gostado.
",3
"This movie lacks any substance. The Idea that robots are treated effectively as evil slaves is done better in so many other sci-fi movies. The acting is nat bad, but is lost in in the mediocre plot.",1
"It is a good movie. It is not bad. I am not trying to sound simple but frankly the critics got it wrong. Bad movies have things in common and this movie does not belong with bad movies. I like it. It was ENTERTAINING. This is important. No one has time to sit through movies that are not entertaining. That being said, my only complaint is that it is the same story that has been told 10000 times. Good vs Evil. Evil dude does bas things and good people try to take down the evil guy. Avatar? Same movie. (For example)",4.5
"First ever review of my Life but couldt disagree more with all the audience.
I can't really believe people saying it's a good movie. I can't also believe someone decided to produce this kind of over-budgeted thing.
VFX were good.
Be kind to yourself, if you have two hours to waste, watch something else.",0.5
"Once again ignore critics, unless it's a movie about a prostitute or has subtitles or is a movie about how someone beats the odds this the critics will immediately relegate this to a terrible movie.  

The Electric State is a pretty fun watch.  Is it a great movie?  Probably not, is it good enough to be entertaining?  Absolutely.  The movie takes place after a war between Robots and Humans after robots achieved sentience and wanted freedom from servitude.   The movie is about that and it's about a brother and sister reuniting and finding others to help against a common foe.  Again, ignore the critics judge it for yourself.",3.5
"Great Movie! Well thought out.  Could be a single movie or is open to a sequel based on one of the last clips.  Great family fun.  I think everyone who takes too technical of an approach and doesn’t appreciate this film,  doesn’t remember the wonderment of young families having a relaxing time watching a movie. It’s not meant to be epic, or life altering, symbolic of deeper things. Although it does deal in foreseeable moral issues in the future. Or the loss of a family member in death. But It’s just a normal family movie!! If this was made in 1990 it would have been the most epic movie.  People who are not appreciating this movie are getting use to amazing movies and not appreciating them. Now they are constantly board and critical. Hey Netflix great Job!! ",5
"Em 1990, explodiu a guerra entre os seres humanos e os robôs. Em 1994, a guerra terminou com a vitória dos humanos, que usaram uma tecnologia desenvolvida por um cientista chamado Ethan Skate, que transfere a mente das pessoas para corpos eletrônicos chamados de drones. Os robôs foram exilados em uma Zona de Exceção. E a empresa de Skate enriqueceu com sua tecnologia. É quando Michelle descobre que a mente do seu irmão falecido está no corpo de um robô e ela decide ir até a Zona de Exceção para descobrir a verdade, porém há uma conspiração bem maior por trás. Os anos 90 viraram os novos anos 80? É meio estranho uma ficção científica com tantos conceitos inexistentes hoje em dia, passar durante a década de 90. Por que não jogar para o futuro? Só para aproveitar a trilha sonora? Depois dos Vingadores, os irmãos Russo não acertaram mais. E este filme segue os outros: uma bola na trave. Tinha os elementos certos, o elenco certo, mas algo não me pegou. Chris Pratt faz mais uma cópia do Starlord. Tucci e Esposito entregam os vilões que eles estão acostumados a fazer, com um pé nas costas. Millie Bobby Brown não acertou como protagonista como em Stranger Things. Talvez porque lá existe uma química entre o elenco que lhe dá o suporte necessário. Aqui ela e Pratt não combinaram. Ficou forçado o motivo pelo qual ele vai ajudá-la, Na parte técnica, o filme se sai bem (também com um orçamento de US$ 320 milhões). Os efeitos visuais são muito bons e mesclam bem o CGI com animatronics e outras técnicas. The Electric State é o filme que ficou no quase, sem um bom roteiro, que aproveitasse tudo o que a história proporcionaria.",3
"It's not the worst movie I've ever seen, but it feels extremely generic. The characters aren't very good and it misses the point of the source material. ",3
"Is it a perfect movie that's going to win award after award? No. Is it a horrible movie that is unwatchable? Also no. It's fine. You can put it on watch it, follow it and just enjoy it with some popcorn. Seriously that's all it's trying to be. I don't understand all the hate reviews for it. It's like certain movies fall into this thing where it becomes popular to hate or love it and then the masses just go with that in order to fit in. This movie is 100% more entertaining than Wicked and yet they have the exact opposite reviews. (Wicked is an unbearable movie, with bad acting and CGI that drags) The Electric State has decent acting, pretty good CGI and a fine pace. Storyline and plot isn't complicated. The only thing is it feels like Ready Player One meets the MCU. If you go in wanting to hate any movie, odds are you will. If you go into this movie just wanting something fun to watch for a couple hours, it'll do that. ",4
"Definitely better than the reviews. The world is interesting while it doesn't make sense when you think about it. The characters ,humans and bots alike are kinda cool and work well together. The emotional background stories are simple but work. Action is meh but has some very fun ideas. All in all I am positively surprised. ",4
"I often find that if the critics hate it, the audience it's designed for will love it. This is perfect escapism, what a fun and well done movie. This was such a fun watch. It was a great way to redo end rethink the 90s and all the touches and characters were so great. Thank you Netflix! Millie was great in this. Same with Chris. A+",5
"It's a fun movie. As others have stated, it could have been much better using most of the same story, directing and effects, but it's definitely worth a couple hours on a Saturday night. I really didn't like the ending though...one of the parts, among others, which could have been more thought out and could have made this movie great.",3.5
"Absolutely loved this movie reminds me of some Jim Henson productions. Nice story original characters and setting. The idea was pretty original which is lacking nowadays, good acting, a good sci-fi, adventure with some heartfelt themes. Bad guy could've been developed a bit more in my opinion, but definitely worth a watch. ",5
1000 plot holes in the first 10 minutes. 0/10. Waste of time. Not even entertaining. So bad I made a rotten tomatoes profile just to give it this review. ,1
"Fun Gen X nostalgia with some great punchlines. I imagined a packed theater on a Saturday night laughing out loud at the screen. The FX was better than most of the recent blockbuster movies released in the past few years, rarely was I taken out of the moment by a bad effects shot. Tighter editing would have made this a better experience. Millie and Chris are a great together. Maybe in the MCU in the future?",3.5
Top 5 worst movie I’ve ever seen,0.5
This is one of my favourite movies of the last few years! I have NO IDEA why the critics are cutting it down. The critics have no credibility anymore.,5
"I always like it when a good movie is panned by the major critics.  In fact, a critically-panned movie almost always ends up being delightful - as The Electric State was.  I honestly cannot understand the negative reviews.

Do yourself a favor.  Only listen to the critics as a way of finding great movies, because great movies are the ones the critics consistently pan.

The Russo Brothers have created yet another brilliant movie.",5
"Don’t listen to the critics! This movie is tons of fun, period. Anyone who says this is a bad movie doesn’t know how to enjoy things. It’s sad. ",5
"The critics must have watched a different movie. This movie was good, really good, really entertaining. My wife and I and teenage son and daughter all enjoyed it for family movie night.  Let yourself go with the story. It's an emotional build right up to a very satisfying end.  The story of the robots suck you in and you build that connection.  Unique characters, visual scenes, great cast, engaging story. Thoroughly enjoyed this movie.  ",4
"I absolutely loved it, it takes you on a ride of emotions, the hate for this movie is honestly so forced.",5
"So different. Dark and funny, great sets and scenes. Sometimes I could totally see the comic book behind the scene. How do they think of this stuff!!",5
"Its missing the spark that makes films memorable, exciting, and unforgettable. 

Watch it, but dont expect the explosions on screen to make your heart skip a beat.  ",2.5
I really enjoyed this movie. It has a unique plot and is very well done. Not sure why the critics don't  like it. I think young and old will enjoy this movie. ,5
"My husband and I loved this movie. It’s heart warming, funny and lots of action.  ",5
Entertaining movie great cast ,5
"Yes its not a deep thinking movie with a complex and thought provoking plot, but while we do need movies like that, sometimes we just need fun movies where we can sit back, relax, and enjoy the movie! This movie is one of those types and if the critics don't like it, who cares, most everyone else seems to.",5
"Loved it! Great acting, I laughed a lot throughout and it had emotional yet satisfying ending. ",5
